gaspar,2026-02-12T15:29:17.217967-06:00,26.56,36.06,26.19
gaspar,2026-02-12T15:34:21.741089-06:00,26.56,36.25,26.19
gaspar,2026-02-12T15:39:24.681090-06:00,26.56,36.19,26.19
gaspar,2026-02-12T15:44:27.741081-06:00,26.56,36.19,26.19
gaspar,2026-02-12T15:49:30.861078-06:00,26.56,36.12,26.19
gaspar,2026-02-12T15:54:33.661096-06:00,26.56,36.00,26.19
gaspar,2026-02-12T15:59:36.701212-06:00,26.56,36.06,26.25
gaspar,2026-02-12T16:04:39.581090-06:00,26.62,35.94,26.25
gaspar,2026-02-12T16:09:42.541078-06:00,26.56,35.88,26.19
gaspar,2026-02-12T16:14:45.421061-06:00,26.62,35.69,26.25
gaspar,2026-02-12T16:19:48.221085-06:00,26.56,34.19,26.25
gaspar,2026-02-12T16:24:51.261101-06:00,26.62,33.19,26.25
gaspar,2026-02-12T16:29:54.381082-06:00,26.62,33.38,26.25
gaspar,2026-02-12T16:34:57.341093-06:00,26.62,33.25,26.25
gaspar,2026-02-12T16:40:00.301113-06:00,26.62,33.25,26.25
gaspar,2026-02-12T16:45:03.211701-06:00,26.62,33.00,26.25
gaspar,2026-02-12T16:50:06.381081-06:00,26.62,33.00,26.31
gaspar,2026-02-12T16:55:09.501140-06:00,26.69,32.69,26.31
gaspar,2026-02-12T17:00:12.461069-06:00,26.62,32.62,26.31
gaspar,2026-02-12T17:05:15.341086-06:00,26.69,32.50,26.31
gaspar,2026-02-12T17:10:18.461674-06:00,26.62,32.38,26.31
gaspar,2026-02-12T17:15:21.341147-06:00,26.69,32.25,26.31
gaspar,2026-02-12T17:20:24.301102-06:00,26.69,32.06,26.31
gaspar,2026-02-12T17:25:27.981087-06:00,26.69,31.88,26.38
gaspar,2026-02-12T17:30:31.181089-06:00,26.69,31.69,26.31
gaspar,2026-02-12T17:35:34.461057-06:00,26.69,31.56,26.31
gaspar,2026-02-12T17:40:37.581090-06:00,26.69,31.31,26.38
gaspar,2026-02-12T17:45:40.701124-06:00,26.69,30.88,26.38
gaspar,2026-02-12T17:50:43.981093-06:00,26.69,30.62,26.38
gaspar,2026-02-12T17:55:46.861083-06:00,26.69,30.56,26.38
gaspar,2026-02-12T18:00:49.901089-06:00,26.75,30.00,26.38
gaspar,2026-02-12T18:05:52.861074-06:00,26.75,29.69,26.44
gaspar,2026-02-12T18:10:56.061087-06:00,26.75,29.44,26.44
gaspar,2026-02-12T18:15:59.181066-06:00,26.75,29.06,26.44
gaspar,2026-02-12T18:21:02.461078-06:00,26.75,28.75,26.44
gaspar,2026-02-12T18:26:05.661106-06:00,26.75,28.69,26.44
gaspar,2026-02-12T18:31:08.941086-06:00,26.75,28.38,26.44
gaspar,2026-02-12T18:36:12.061096-06:00,26.75,28.19,26.44
gaspar,2026-02-12T18:41:15.181062-06:00,26.75,28.12,26.44
gaspar,2026-02-12T18:46:18.301078-06:00,26.75,28.06,26.50
gaspar,2026-02-12T18:51:21.421043-06:00,26.81,27.69,26.50
gaspar,2026-02-12T18:56:24.541079-06:00,26.75,27.62,26.50
gaspar,2026-02-12T19:01:27.821108-06:00,26.75,27.69,26.50
gaspar,2026-02-12T19:06:31.021144-06:00,26.81,27.62,26.56
gaspar,2026-02-12T19:11:34.221086-06:00,26.81,27.38,26.50
gaspar,2026-02-12T19:16:37.501009-06:00,26.81,27.38,26.50
gaspar,2026-02-12T19:21:40.701061-06:00,26.81,27.44,26.50
gaspar,2026-02-12T19:26:43.821090-06:00,26.88,27.44,26.56
gaspar,2026-02-12T19:31:46.941081-06:00,26.88,27.69,26.56
gaspar,2026-02-12T19:36:50.141069-06:00,26.81,27.69,26.56
gaspar,2026-02-12T19:41:53.421066-06:00,26.88,27.75,26.56
gaspar,2026-02-12T19:46:56.541080-06:00,26.88,28.12,26.56
gaspar,2026-02-12T19:51:59.661253-06:00,26.88,28.31,26.56
gaspar,2026-02-12T19:57:02.861092-06:00,26.88,28.44,26.56
gaspar,2026-02-12T20:02:05.981098-06:00,26.88,28.44,26.62
gaspar,2026-02-12T20:07:09.101680-06:00,26.88,28.19,26.56
gaspar,2026-02-12T20:12:12.221084-06:00,26.88,27.81,26.62
